date,ntl_mean,ntl_sum,ntl_n
2016-09-22,6.4448905003466095,13411.817131221294,2081
2016-09-23,5.699733119044437,11861.144620731471,2081
2016-09-24,5.208437818537991,10838.75910037756,2081
2016-09-25,4.838559348521068,10069.042004272342,2081
2016-09-26,5.312411648065124,11055.128639623525,2081
2016-09-27,6.033205830077213,12555.10133239068,2081
2016-09-28,6.049881565361742,12589.803537517786,2081
2016-09-29,6.077434618017067,12647.141440093515,2081
2016-09-30,6.061661872624319,12614.31835693121,2081
2016-10-01,5.382210486936833,11200.380023315549,2081
2016-10-02,5.923102608864437,12325.976529046891,2081
2016-10-03,5.9750310939158,12434.03970643878,2081
2016-10-04,6.07941030220078,12651.252838879824,2081
2016-10-05,6.079841915501934,12652.151026159523,2081
2016-10-06,5.054652279676983,10518.731394007802,2081
2016-10-07,5.579966111847095,11611.909478753803,2081
2016-10-08,6.060771161277726,12612.464786618948,2081
2016-10-09,5.754790891124789,11975.719844430683,2081
2016-10-10,5.911901601872612,12302.667233496904,2081
2016-10-11,6.077064672638051,12646.371583759785,2081
2016-10-12,6.07719575450834,12646.644365131857,2081
2016-10-14,5.8643363896081135,12203.684026774485,2081
2016-10-15,5.10917498026132,10632.193133923807,2081
2016-10-16,4.263462862176646,8872.2662161896,2081
2016-10-18,5.51671522202714,11480.28437703848,2081
2016-10-19,5.976367553929203,12436.82087972667,2081
2016-10-20,5.090016324706563,10592.32397171436,2081
2016-10-21,5.339929212882742,11112.392692008989,2081
2016-10-22,5.63659850972338,11729.761498734357,2081
2016-10-23,5.609384162431151,11673.128442019224,2081
2016-10-24,6.304557184168263,13119.783500254154,2081
2016-10-25,5.741762686604952,11948.608150824904,2081
2016-10-26,5.798669595391289,12067.031428009272,2081
2016-10-27,4.690138223056952,9760.177642181516,2081
2016-10-28,5.282849218737529,10993.609224192798,2081
2016-10-29,7.441991219607641,15486.783728003502,2081
2016-10-30,6.564262289831353,13660.229825139046,2081
2016-10-31,4.7161599224301725,9814.32879857719,2081
2016-11-01,6.0258513202551525,12539.796597450972,2081
2016-11-02,6.053165822490827,12596.638076603413,2081
2016-11-03,5.6258312582697565,11707.354848459365,2081
2016-11-04,6.053832627048807,12598.025696888566,2081
2016-11-05,6.173597387865666,12847.25616414845,2081
2016-11-08,6.146700751532276,12791.284263938664,2081
2016-11-09,6.174759057208588,12849.673598051071,2081
2016-11-13,6.058336744829655,12607.39876599051,2081
2016-11-14,5.842904935241845,12159.08517023828,2081
2016-11-15,6.174193065593816,12848.495769500732,2081
2016-11-18,5.1632766557440295,10744.778720603324,2081
2016-11-20,6.5156603677601685,13559.089225308911,2081
2016-11-21,5.887143798748901,12251.146245196462,2081
2016-11-22,4.56601479776286,9501.876794144511,2081
2016-11-23,5.700740534001277,11863.241051256657,2081
2016-11-24,5.121039160154491,10656.882492281497,2081
2016-11-25,6.665462931300344,13870.828360036016,2081
2016-11-26,5.675901462715558,11811.550943911076,2081
2016-11-27,5.09549997914502,10603.735456600783,2081
2016-11-28,5.626842982218507,11709.460245996714,2081
2016-11-29,6.01392004511094,12514.967613875866,2081
2016-11-30,6.068244173714658,12628.016125500202,2081
2016-12-01,6.190603453170102,12882.645786046982,2081
2016-12-02,5.272212234015565,10971.47365898639,2081
2016-12-03,5.005539423084815,10416.5275394395,2081
2016-12-04,5.479841156258055,11403.549446173012,2081
2016-12-05,6.809992347576766,14171.59407530725,2081
2016-12-06,6.012657218615863,12512.339671939611,2081
2016-12-07,5.675506954351221,11810.72997200489,2081
2016-12-08,5.998461430402744,12482.79823666811,2081
2016-12-09,6.101081155816963,12696.349885255098,2081
2016-12-10,6.389102359987548,13295.722011134088,2081
2016-12-11,6.49088626616719,13507.534319893924,2081
2016-12-12,5.902684600751579,12283.486654164037,2081
2016-12-13,4.940088515661313,10280.324201091193,2081
2016-12-14,5.160415263116585,10738.824162545614,2081
2016-12-15,5.950673360820611,12383.351263867691,2081
2016-12-16,6.47883535086986,13482.456365160178,2081
2016-12-17,6.072348059706859,12636.556312249972,2081
2016-12-19,4.796130131971286,9980.746804632246,2081
2016-12-20,5.484115343048617,11412.444028884172,2081
